commodity,action,target,note,years
"Tea — White, In Bottles: Still",drop,,"stale-head re-print: the article matches ""Tobacco — White, In Bottles, Still"" and 91% of the cells are already there; the head is glue from the previous table",
Metal — Myrabolams,drop,,"stale-head re-print: the article matches ""Myrabolams"" and 100% of the cells are already there; the head is glue from the previous table",
"Nitre, Cubic — Unenumerated",drop,,"stale-head re-print: the article matches ""Manures — Unenumerated"" and 100% of the cells are already there; the head is glue from the previous table",
"Ammunition — Muskets, Rifles, Carbines, Fowling Pieces, Or Guns Of Any Other Sorts Not Enumerated, And Parts Thereof, And Pistols",drop,,"stale-head re-print: the article matches ""Animals, Living — Muskets, Rifles, Carbines, Fowling     Pieces, Or Guns Of Any Other     Sorts, Not Enumerated; And     Parts Thereof, And Pistols"" and 93% of the cells are already there; the head is glue from the previous table",
"Beef — Brass, Bronze, And Metal Bronzed Or Lacquered, Manufactures Of, Unenumerated",drop,,"stale-head re-print: the article matches ""Brass, Bronze, And Metal, Bronzed Or Lacquered, Manufactures Of, Unenumerated"" and 100% of the cells are already there; the head is glue from the previous table",
"Boxes (Except Whalefins): Applicable To Manufacturing Purposes — Brass, Bronze, And Metal, Bronzed Or Lacquered, Manufactures Of, Unenumerated",drop,,"stale-head re-print: the article matches ""Brass, Bronze, And Metal, Bronzed Or Lacquered, Manufactures Of, Unenumerated"" and 100% of the cells are already there; the head is glue from the previous table",
"Arms, Ammunition, And Military Stores — Swords, Cutlasses, Bayonets, And Arms Of Other Sorts, Unenumerated",fold,"Cannon And Mortars, Mounted Or Accompanied With Carriages — Swords, Cutlasses, Bayonets, And Arms Of Other Sorts, Unenumerated","stale-head glue: same printed article as ""Cannon And Mortars, Mounted Or Accompanied With Carriages — Swords, Cutlasses, Bayonets, And Arms Of Other Sorts, Unenumerated"", head left over from the previous table",
Bank — Of Other Sorts,drop,,"stale-head re-print: the article matches ""Bark — Of Other Sorts"" and 100% of the cells are already there; the head is glue from the previous table",
"Skins, Furs, And Pelts — Ginger'D)",drop,,"stale-head re-print: the article matches ""Spices — Ginger"" and 100% of the cells are already there; the head is glue from the previous table",
Spirits — Other Sorts (Including Cigarettes),drop,,"stale-head re-print: the article matches ""Tobacco — Other Sorts (Including Cigarettes)"" and 100% of the cells are already there; the head is glue from the previous table",
"Metal — Fish, Sperm Or Head-Matter",drop,,"stale-head re-print: the article matches ""Nuts And Kernels — Fish, Sperm Or Head-Matter"" and 100% of the cells are already there; the head is glue from the previous table",
Total,drop,,"not a commodity: a printed table total parsed as a line; no origins, single year",
"Soap — Spirits, British And Irish",fold,"Spirits, British And Irish","chimera label: the article is the standalone commodity ""Spirits, British And Irish"" (Food) glued under a leftover Chemicals head",
"Copper, Ore Of — Bark",fold,Bark,"chimera label: the article is the standalone commodity ""Bark"" (Chemicals) glued under a leftover Metals & ores head",
"Cotton Manufactures — Earthenware, Not Being China Or Porcelain Ware",fold,"Earthenware, Not Being China Or Porcelain Ware","chimera label: the article is the standalone commodity ""Earthenware, Not Being China Or Porcelain Ware"" (Minerals) glued under a leftover Textiles head",
Stationery Other Than Paper — Succades (Including Fruits And Vegetables Pre- Served In Sugar),fold,Succades (Including Fruits And Vegetables Pre- Served In Sugar),"chimera label: the article is the standalone commodity ""Succades (Including Fruits And Vegetables Pre- Served In Sugar)"" (Food) glued under a leftover Wood head",
Stationery Other Than Paper — Succades (Including All Fruits And Vegetables Pre- Served In Sugar),fold,Succades (Including Fruits And Vegetables Pre- Served In Sugar),"chimera label: the article is the standalone commodity ""Succades (Including Fruits And Vegetables Pre- Served In Sugar)"" (Food) glued under a leftover Wood head",
"Arms, Ammunition, And Military Stores — Asphalt, Or Bitumen Judaicum",fold,"Asphalt, Or Bitumen Judaicum","chimera label: the article is the standalone commodity ""Asphalt, Or Bitumen Judaicum"" (Minerals) glued under a leftover Machinery & manufactures head",
"Tobacco — Varnish, Containing Alcohol",fold,"Varnish, Containing Alcohol","chimera label: the article is the standalone commodity ""Varnish, Containing Alcohol"" (Chemicals) glued under a leftover Food head",
Corn,drop,,"transposed table: the ""country"" column is a list of commodities (18/20 labels), so these are not origins; no national series either - see reports/transposed_tables.csv for recovery",
Silk — Skins,drop,,"transposed table: the ""country"" column is a list of commodities (12/12 labels), so these are not origins; no national series either - see reports/transposed_tables.csv for recovery",
Wine — Provisions,drop,,"transposed table: the ""country"" column is a list of commodities (21/24 labels), so these are not origins; no national series either - see reports/transposed_tables.csv for recovery",
Dye Stuffs,drop,,"transposed table: the ""country"" column is a list of commodities (16/21 labels), so these are not origins; no national series either - see reports/transposed_tables.csv for recovery",
Tobacco — Wood,drop,,"transposed table: the ""country"" column is a list of commodities (5/7 labels), so these are not origins; no national series either - see reports/transposed_tables.csv for recovery",
Tobacco,drop,,"transposed table: the ""country"" column is a list of commodities (8/8 labels), so these are not origins; no national series either - see reports/transposed_tables.csv for recovery",
Silk,drop,,"transposed table: the ""country"" column is a list of commodities (5/6 labels), so these are not origins; no national series either - see reports/transposed_tables.csv for recovery",
Total Of British And Foreign Produce,drop,,"transposed table: the ""country"" column is a list of commodities (5/5 labels), so these are not origins; no national series either - see reports/transposed_tables.csv for recovery",
Total Of British And Foreign Exports,drop,,"transposed table: the ""country"" column is a list of commodities (6/6 labels), so these are not origins; no national series either - see reports/transposed_tables.csv for recovery",
— Pig And Puddled,rename,Pig And Puddled,"name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Hats Or Bonnets — Unenumerated Vegetable Sub-     Stances, Applicable To The     Same Uses As Hemp Or Flax",rename,"Hats Or Bonnets — Unenumerated Vegetable Sub- Stances, Applicable To The Same Uses As Hemp Or Flax","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Metal — Unenumerated, Old, Fit Only To Be Re-Manufactured—Cont.",rename,"Metal — Unenumerated, Old, Fit Only To Be Re-Manufactured","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Wood And Timber — Unenumerated (Not Being Ash,     Beech, Birch, Elm, Oak, Or     Wainscot)",rename,"Wood And Timber — Unenumerated (Not Being Ash, Beech, Birch, Elm, Oak, Or Wainscot)","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
Hock -,rename,Hock,"name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Metal — Old (Other Than Iron Or Copper), Fit Only For     Re-Manufacture",rename,"Metal — Old (Other Than Iron Or Copper), Fit Only For Re-Manufacture","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Metal — Gold (Other Than Iron Or Copper), Fit Only For     Re-Manufacture",rename,"Metal — Gold (Other Than Iron Or Copper), Fit Only For Re-Manufacture","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Animals, Living — Muskets, Rifles, Carbines, Fowling     Pieces, Or Guns Of Any Other     Sorts, Not Enumerated; And     Parts Thereof, And Pistols",rename,"Animals, Living — Muskets, Rifles, Carbines, Fowling Pieces, Or Guns Of Any Other Sorts, Not Enumerated; And Parts Thereof, And Pistols","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"— Bar, Angle, Bolt And Rod",rename,"Bar, Angle, Bolt And Rod","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Iron — Manufactures, Of Iron And Steel;   Sewing Machines",rename,"Iron — Manufactures, Of Iron And Steel; Sewing Machines","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Iron — Manufactures, Of Iron And Steel;   Sewing Machines : Unenumerated",rename,"Iron — Manufactures, Of Iron And Steel; Sewing Machines : Unenumerated","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Skins, Furs, And Pelts — Unenumerated : 
                    In Any Way Dressed ; Not Leather",rename,"Skins, Furs, And Pelts — Unenumerated : In Any Way Dressed ; Not Leather","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Bristles — Note.—The Total Quantities And Value Of ""Butterine,"" Declared As Such, Imported In The Year 1885 Were",drop,,"printed page furniture (footnote, cross-reference or table total) parsed as a commodity",
"Rags, And Other Materials For Making Paper — Other Materials, And Pulp Of   Rags",rename,"Rags, And Other Materials For Making Paper — Other Materials, And Pulp Of Rags","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Ivory — Teeth, Elephants, Sea Dogs, Sea     Horse, Or Sea Morses",rename,"Ivory — Teeth, Elephants, Sea Dogs, Sea Horse, Or Sea Morses","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Coffee — Rum Shrub, Liqueurs And Cordials, Of And From       British Possessions",rename,"Coffee — Rum Shrub, Liqueurs And Cordials, Of And From British Possessions","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Hides, Raw, And Pieces Thereof — British Possessions In South             Africa",rename,"Hides, Raw, And Pieces Thereof — British Possessions In South Africa","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
Pyrites Of Iron Or Copper Or Sulphur — Linen And Cotton Rag-,rename,Pyrites Of Iron Or Copper Or Sulphur — Linen And Cotton Rag,"name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Glass — Unenumerated Vegetable Sub-     Stances, Applicable To The     Same Uses As Hemp Or Flax",rename,"Glass — Unenumerated Vegetable Sub- Stances, Applicable To The Same Uses As Hemp Or Flax","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
Sugar — Total Unrefined Of All Kinds—(Contd),rename,Sugar — Total Unrefined Of All Kinds,"name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Earthen And China Ware — Earthenware, Chinaware, &C. (Contd)",rename,"Earthen And China Ware — Earthenware, Chinaware, &C.","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Butter And Butterine — Note.—The Total Quantities And Valueof ""Butterine,"" Declared As Such,Imported In The Year 1885 Were",drop,,"printed page furniture (footnote, cross-reference or table total) parsed as a commodity",
"Woollen And Worsted Manufactures — Coatings, Duffels, &C., All Wool (Contd)",rename,"Woollen And Worsted Manufactures — Coatings, Duffels, &C., All Wool","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Glass — Plate, Rough Or Silvered (Contd)",rename,"Glass — Plate, Rough Or Silvered","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
Total Value - - - - -,drop,,"printed page furniture (footnote, cross-reference or table total) parsed as a commodity",
Total Value — Dyes And Dyeing Stuffs,drop,,"printed page furniture (footnote, cross-reference or table total) parsed as a commodity",
"Hemp, Dressed And Undressed, And Tow - Cwts",rename,"Hemp, Dressed And Undressed, And Tow","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
Clover And Grass - - - - -,rename,Clover And Grass,"name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
Stationery - - - - -,rename,Stationery,"name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Alpaca, Vicuña, And Llama - - - - -",rename,"Alpaca, Vicuña, And Llama","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
Margarine. (See Under Butter.),drop,,"printed page furniture (footnote, cross-reference or table total) parsed as a commodity",
"Metal Not Otherwise Enumerated, Wrought - Tons",rename,"Metal Not Otherwise Enumerated, Wrought","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Rags, Woollen, Applicable To Other Uses Than Manure - Tons",rename,"Rags, Woollen, Applicable To Other Uses Than Manure","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"— Other Farinaceous Substances, Unenumerated - Value £",rename,"Other Farinaceous Substances, Unenumerated - Value £","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Unenumerated, For Expressing Oil Therefrom - Quarters",rename,"Unenumerated, For Expressing Oil Therefrom","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Animals, Living: Oxen, Bulls, Cows, And Calves - Number",rename,"Animals, Living: Oxen, Bulls, Cows, And Calves","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Methylic Alcohol, Not Purified So As To Be Potable - Gallons",rename,"Methylic Alcohol, Not Purified So As To Be Potable","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Unwrought, And Part Wrought, Old Copper, Copper } In Plates For Coin, Coin, And Copper Sheets -",rename,"Unwrought, And Part Wrought, Old Copper, Copper } In Plates For Coin, Coin, And Copper Sheets","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
Glass Of All Kinds (Except Bottles Of Green Or Common } (Glass) -,rename,Glass Of All Kinds (Except Bottles Of Green Or Common } (Glass),"name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
Articles—Continued,drop,,"printed page furniture (footnote, cross-reference or table total) parsed as a commodity",
"Chemical, Essential, Or Perfumed - Lbs",rename,"Chemical, Essential, Or Perfumed","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Metal, Unenumerated, Unwrought - Tons",rename,"Metal, Unenumerated, Unwrought","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Sweetened And Perfumed, Of All Kinds - Gallons",rename,"Sweetened And Perfumed, Of All Kinds","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Stones, Marble, Hewn Or Manufactured - Tons",rename,"Stones, Marble, Hewn Or Manufactured","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
Preserved Without Sugar - Lbs,rename,Preserved Without Sugar,"name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
- - - - - Lbs,drop,,name is nothing but table rules,
"Rugs, Woollen, Applicable To Other Uses Than Manure - - - - -",rename,"Rugs, Woollen, Applicable To Other Uses Than Manure","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
— All Other Kinds - Cuts,rename,All Other Kinds - Cuts,"name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Chicory And Coffee, Roasted Or Ground Mixed, -",rename,"Chicory And Coffee, Roasted Or Ground Mixed","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Straw Plaiting, For Making Hats Or Bonnets - Lbs",rename,"Straw Plaiting, For Making Hats Or Bonnets","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
Clocks And Watches - { Clocks - Number,rename,Clocks And Watches - { Clocks,"name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Tin In Blocks, Ingot, Bars, Or Slabs And Regulus - Cwts",rename,"Tin In Blocks, Ingot, Bars, Or Slabs And Regulus","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Knobs Or Husks Of Silk, And Waste - Cwts",rename,"Knobs Or Husks Of Silk, And Waste","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
Straw Platting For Hats Or Bonnets - Lbs,rename,Straw Platting For Hats Or Bonnets,"name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
— All Other Kinds - Cwts,rename,All Other Kinds,"name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Meat, Unenumerated; Salted Or Fresh -Preserved, Otherwise Than By Salting -",rename,"Meat, Unenumerated; Salted Or Fresh -Preserved, Otherwise Than By Salting","name carried printed page furniture: a unit-column header, a (Contd) marker, table rules, or column-gutter whitespace",
"Metal, Unenumerated, Unwrought",fold,"Metal — Unenumerated, Unwrought",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
"Straw Plaiting, For Making Hats Or Bonnets",fold,"Straw Platting, For Making Hats Or Bonnets",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
"Tin In Blocks, Ingot, Bars, Or Slabs And Regulus",fold,"Tin — In Blocks, Ingots, Bars, Or Slabs, And Regulus",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
"Metal Not Otherwise Enumerated, Wrought",fold,Metal Not Otherwise Enumerated — Wrought,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
"Wood And Timber — Hewn, Fir : Oak",fold,Wood And Timber — Oak,"two printed lines fused: in ""<mode>, A : B"" the A is the previous sub-sort bleeding in and B is this line. Confirmed by the origins — this label ships from the B profile, not the A one",
"Wood And Timber — Hewn, Fir : Unenumerated",fold,"Wood And Timber — Hewn, Unenumerated","two printed lines fused: in ""<mode>, A : B"" the A is the previous sub-sort bleeding in and B is this line. Confirmed by the origins — this label ships from the B profile, not the A one",
"Wood And Timber — Hewn, Teak : Unenumerated",fold,"Wood And Timber — Hewn, Unenumerated","two printed lines fused: in ""<mode>, A : B"" the A is the previous sub-sort bleeding in and B is this line. Confirmed by the origins — this label ships from the B profile, not the A one",
"Wood And Timber — Sawn, Fir : Unenumerated",fold,"Wood And Timber — Sawn, Unenumerated","two printed lines fused: in ""<mode>, A : B"" the A is the previous sub-sort bleeding in and B is this line. Confirmed by the origins — this label ships from the B profile, not the A one",
"Wood And Timber — Hewn, Teak",fold,Wood And Timber — Teak,"era label for the same line: teak is printed under ""Hewn"" in the earlier volumes and as its own line later; this label holds the origins (Burmah, Bengal, Siam) and the target holds the 1893-1900 anchor",
Sugar — Unrefined Of All Kinds,fold,"Sugar — Unrefined, Total","era label for the unrefined national line, origins 1875-81; each year matches the independently printed national total to within 0.2% (16,262 v 16,265 cwt in 1875)",
Sugar — Of All Kinds,fold,"Sugar — Unrefined, Total","era label, origins 1882 only: 19,839,225 cwt against a national total of 19,839,225 - the same figure, so this is the unrefined total and not sugar of all sorts",
Sugar — Unrefined; Beetroot : Total Of,fold,"Sugar — Unrefined, Total","fused printed lines: the 'Beetroot' is the previous sub-sort bleeding in and 'Total Of' is this line. Origins 1883-84 match the national total (20,517 v 20,367; 19,620 v 19,623 thousand cwt), so it is the total and not beetroot",
Spices — Sugar Unrefined : Total Of,fold,"Sugar — Unrefined, Total","the head is glue from a neighbouring Spices table; origins 1886 total 16,100,551 cwt against a national total of 16,133,661",
Sugar — Unrefined,fold,"Sugar — Unrefined, Total","holds the 1878-91 national total for the line whose origins the target holds. Folded AFTER the 1886 label above because its own 1886 origin table is a row-slipped copy (Brazil 142 where the other reads 597,228) and must lose",
Sugar — Raw,fold,"Sugar — Unrefined, Total","earliest era label, national total only, 1868-81. Folded after 'Sugar — Unrefined' so the 1878-81 overlap goes to the latter: the two disagree in 1881 (15,651 v 18,651 thousand cwt) and the origin tables independently sum to 18,651, so this label carries the OCR error",
Unrefined,fold,"Sugar — Unrefined, Total","latest era label, national total only, 1892-96. Confirmed by closure: the beetroot and cane national totals sum to it exactly in 1893-96",
"Sugar — Refined, Or Sugar Equal In Quality Thereto, And Sugar Candy",fold,Sugar — Refined : Total Of,"era label for the refined national line, origins 1872-81; every year equals the printed national total to the digit (2,860,776 cwt in 1875)",
Sugar — Refined And Candy,fold,Sugar — Refined : Total Of,"holds the 1866-96 national total for the refined line whose origins the target holds. Confirmed by closure: lumps-and-loaves plus other-sorts-including-candy sum to it exactly, 1893-96",
Refined And Candy,fold,Sugar — Refined : Total Of,"de-headed duplicate of the national total above (1866-67, 1892-95, same figures); folded after it so it adds nothing",
"Sugar — Refined, Or Rendered By Any Process Equal Thereto : Refined, Total",fold,Sugar — Refined : Total Of,"same line, fused with the previous sub-sort. Supplies 1882-83 (2,701,650 v a national total of 2,766,123; 1883 exact) and 1899; folded last so its 1893-98 copy loses to the target's",
"Sugar Refined, In Lumps And Loaves",fold,Sugar — In Lumps And Loaves,"national total 1893-1900 for the sub-sort whose origins the target holds; 1893 and 1894 match the origin sums to the digit (2,305,254 and 2,711,040 cwt)",
"Refined, In Lamps And Loaves",fold,Sugar — In Lumps And Loaves,"'Lamps' is an OCR misread of 'Lumps'; duplicate of the national total above, folded after it so it adds nothing",
"Sugarrefined, Or Rendered By Any Process Equal Thereto; Other Sorts, Including Candy",fold,"Sugar — Other Sorts, Including Candy","same line with the head fused to the previous one; its only year, 1883, duplicates the target's exactly (1,601,960 cwt)",
"Spices — Unrefined : Beetroot : Cane, And Other Sorts",fold,"Sugar — Unrefined : Cane, And Other Sorts","head is glue from a neighbouring Spices table. Its 1886 origins (9,408,726 cwt) close the family: beetroot 6,671,795 plus this is the unrefined total 16,133,661. Folded first because the other 1886 copy holds only the first five countries",
"Cane, And Other Sorts",fold,"Sugar — Unrefined : Cane, And Other Sorts","de-headed era label carrying the 1893-1900 national total the target lacks entirely, plus origins 1880-89. Its 1885 closes exactly (beetroot 8,051 plus 11,346 = the 19,417 thousand cwt unrefined total)",
"Sugar — Unrefined; Beetroot : Cane, And Other Sorts",fold,"Sugar — Unrefined : Cane, And Other Sorts","same line, fused with the previous sub-sort. Folded LAST deliberately: its 1882 and 1884 close exactly and the label above does not, but its 1887 is a 393,000 cwt fragment of an ~8.9M cwt year, and taking the fragment costs more than the two better years gain. Both readings are recorded in reports/sugar_findings.md",
Molasses,fold,Sugar — Molasses,"de-headed era label holding the national total for 1866-68 and 1892-1900; matches the target's origin sums to the digit in 1893, 1895, 1896 and 1898",
"Cards, Playing — Molasses",fold,Sugar — Molasses,"playing cards are glue from a neighbouring table; the 1872 origins total 696,615 cwt against a printed molasses total of 696,615, the year the target lacks",
"Sugarrefined, Or Rendered By Any Process Equal Thereto; Other Sorts, Including Candy — Molasses",fold,Sugar — Molasses,"refined sugar is glue from the line above; the 1883 origins total 372,683 cwt against a printed molasses total of 372,683, the year the target lacks",
"Sugar, Unrefined : Total Of — Molasses",fold,Sugar — Molasses,"unrefined sugar is glue from the line above; the 1888 origins total 345,894 cwt against a printed molasses total of 345,894, the year the target lacks",
Sugar — Glucose (Liquid),fold,Sugar — Glucose,"earlier era label, national total only, 1868-77; identical to the target's own total where both are printed (1874-77), so it extends the anchor back six years",
Glucose (Liquid) Or Vegetable Syrup,fold,Sugar — Glucose,"earliest era label; its 1872-73 origins (29,700 and 36,306 cwt) equal the printed glucose totals for those years, and its national total extends the anchor to 1866",
"Unrefined, Beetroot",rename,Sugar — Unrefined : Beetroot,"de-headed sub-sort of the unrefined sugar line; named so it sits beside 'Sugar — Unrefined : Cane, And Other Sorts'. Its origins track the national total at 1.00-1.04 for every year 1893-99, and it closes the family: beetroot plus cane is the unrefined total exactly, 1893-96",
Wine,fold,Wine — Total Of All Kinds,"the national total 1866-96 for the line whose origins the target holds, and the largest commodity in the dataset. Merged, the origins track it at 0.97-1.04 in 21 of the 25 checkable years; the four that do not (1876, 1877, 1881, 1882, at 13-23x) are corrupt origin cells the fold EXPOSES - before it there was no total to catch them. Brings 12 junk origin labels from a transposed re-print (value GBP11,291, no quantity, all unmappable)",
Dressed,fold,Lead — Dressed,de-headed era label carrying the 1894-1900 national total; the target's origins match it at 1.00 in all six checkable years,
Guano,fold,Manures — Guano,de-headed era label carrying the national total 1866-1900; the target's origins match it at 0.95-1.19 in 25 of 28 years. 1880 reads 0.14 and is a defect the anchor now exposes,
Oranges,fold,Fruit — Oranges,de-headed era label carrying the 1892-1900 national total; the target's origins match it at 1.00 in all seven checkable years,
"Nitre, Cubic",fold,"Nitre, Cubic (Nitrate Of Soda)","same line under a shorter era label. A two-way split: this half holds the national total 1866-92 AND the origins for 1872-79 and 1887-91, the target holds the origins for 1880-86. Merged, 20 of 21 years sit at 0.94-1.00",
Iron In Bars — Unwrought,fold,Bars,"era label for the same line, national total only, 1866-77",
Iron In Bars,fold,Bars,"era label for the same line, national total only, 1874-79",
In Bars,fold,Bars,"de-headed era label, national total only, 1876-88. With the two above the anchor runs 1866-94 and the target's origins match it at 1.00 in all eight checkable years",
Bars,rename,Iron — In Bars,the label is de-headed: 'Bars' alone names nothing. Its partners are all Iron In Bars and its national totals are iron tonnages,
"Skins: Sheep And Lamb, Undressed",fold,"Sheep And Lamb, Undressed","same line, colon form; carries the 1878-94 national total the target lacks, and the two checkable years match at 1.00",
"Sheep And Lamb, Undressed",rename,"Skins — Sheep And Lamb, Undressed","restores the printed head lost from this label; the trade is in skins, counted by number",
Rice — Not In The Husk,fold,Rice — Not Rough Nor In The Husk,"the same printed line, shortened in the later volumes. Holds the 1866-77 national total and the 1874-77 origins; the target holds 1872-73. Six checkable years at 0.98-1.00",
Paper — Strawboard And Millboard,fold,Paper — Millboard And Pasteboard,"millboard under an era label whose companion word changed. Holds the 1893-97 national total and the 1895-99 origins, disjoint from the target's 1872-94; 1893 and 1894 match at 1.00, 1895-97 run 8-15% over",
"Stones, &Amp;C",fold,"Stones, Marble, And Slate : Rough, Hewn Or Manufactured : (Other Than Works Of Art)","abbreviated era label, national total only, 1885-94",
"Stones, Marble, Hewn Or Manufactured",fold,"Stones, Marble, And Slate : Rough, Hewn Or Manufactured : (Other Than Works Of Art)","era label, national total only, 1891-95. With the one above the anchor runs 1885-1900 and the target's origins match at 1.00 in all eight checkable years",
"Flowers, Artificial — Apples, Raw",fold,Apples — Raw,"artificial flowers are glue from a neighbouring table; the origins are apples, 1886-92. Folded INTO the correctly-headed label, which carries the national total 1866-70, 1882-85 and 1892-1900. Only 1892 can be checked and it matches exactly",
"Rags, Woollen, Applicable To Other Uses Than Manure",fold,"Rags, Woollen, Applicable To Other Uses Than Manure, Torn Up Or Not","the same line without the printed tail. Holds the national total 1876-96 and origins for 1890, 1892-94 and 1896; the target holds 1876-85 and the 1893-1900 total. Merged, all sixteen checkable years sit at 0.98-1.00",
"Flowers, Artificial — Almonds",fold,Almonds,"the head is glue from whatever line was printed above; the article names the real commodity and the origins confirm it. Origins 1872-93, folded into the correctly-headed label which holds the 1893-99 national total; the overlapping 1893 matches it at 0.995",
Flax — Almonds,fold,Almonds,"the head is glue from whatever line was printed above; the article names the real commodity and the origins confirm it. Origins 1893-97, and the better copy of those years: 0.992-0.998 against the national total where the Fish-headed copy runs 0.81-1.00",
Fish (Including Turtle) — Almonds,fold,Almonds,the head is glue from whatever line was printed above; the article names the real commodity and the origins confirm it. Folded last: it supplies 1898 (0.997) and its 1894-97 copy loses to the closer one above,
Ice — Indigo,fold,Indigo,the head is glue from whatever line was printed above; the article names the real commodity and the origins confirm it. Origins 1872-81 against the national total 1866-1900; nine of eleven checkable years at 1.00,
Drugs — Indigo,fold,Indigo,"the head is glue from whatever line was printed above; the article names the real commodity and the origins confirm it. Supplies 1882, which matches the printed national total exactly",
Iron — Unenumerated,fold,"Iron — Manufactures Of Iron Or Steel, Unenumerated","era label for the same line, origins 1883-96. The target holds the 1878-1900 national total; merged, 1880-99 sits at 1.00",
"Iron, Manufactures — Unenumerated",fold,"Iron — Manufactures Of Iron Or Steel, Unenumerated","era label for the same line, origins 1885-88",
"Iron — Manufactures, Of Iron And Steel; Sewing Machines : Unenumerated",fold,"Iron — Manufactures Of Iron Or Steel, Unenumerated",same line with the previous sub-sort fused in; origins 1882 and 1884,
Iron And Steel — Unenumerated,fold,"Iron — Manufactures Of Iron Or Steel, Unenumerated","era label for the same line, origins 1893-94",
